sample	CellType	Cell.type2	Tissue	Age	Nmut	SBS1	SBS5	SBS8	clock_like	SBS9	SBS18	SBS7a	SBS17b	mutations	abs_clock	id
B9_A6	B Naive	Naive B	blood	63	952	0.100471575	0.899528425	0	1	0	0	0	0	947	947	B9
B9_B10	B Naive	Naive B	blood	63	556	0.117559612	0.882440388	0	1	0	0	0	0	553	553	B9
B9_F4	B Memory	Memory B	blood	63	1183	0.081888015	0.441331273	0.103470205	0.626689493	0.373310507	0	0	0	1180	739.4936013	B9
BMH1_PlateB1_B10	B Naive	Naive B	blood	63	1174	0.127247222	0.872752778	0	1	0	0	0	0	1169	1169	BMH1
BMH1_PlateB1_C3	B Naive	Naive B	blood	63	1136	0.117303885	0.882696115	0	1	0	0	0	0	1132	1132	BMH1
BMH1_PlateB1_D3	B Naive	Naive B	blood	63	1099	0.115931249	0.884068751	0	1	0	0	0	0	1096	1096	BMH1
BMH1_PlateB1_D4	B Naive	Naive B	blood	63	984	0.11118593	0.88881407	0	1	0	0	0	0	978	978	BMH1
BMH1_PlateB1_E2	B Memory	Memory B	blood	63	1537	0.06489025	0.591221907	0.175902261	0.832014417	0.167985583	0	0	0	1531	1273.814073	BMH1
BMH1_PlateB1_G8	B Memory	Memory B	blood	63	2384	0.060447275	0.428530838	0	0.488978113	0.511021887	0	0	0	2369	1158.389151	BMH1
BMH1_PlateB2_C3	B Naive	Naive B	blood	63	784	0.136792594	0.863207406	0	1	0	0	0	0	782	782	BMH1
BMH1_PlateB2_D3	B Naive	Naive B	blood	63	906	0.09520843	0.90479157	0	1	0	0	0	0	901	901	BMH1
BMH1_PlateB2_D4	B Naive	Naive B	blood	63	720	0.136801121	0.863198879	0	1	0	0	0	0	719	719	BMH1
BMH1_PlateB2_D9	B Naive	Naive B	blood	63	597	0.112526604	0.887473396	0	1	0	0	0	0	596	596	BMH1
BMH1_PlateB2_E5	B Memory	Memory B	blood	63	2335	0.057658628	0.461618377	0.151698367	0.670975372	0.329024628	0	0	0	2326	1560.688715	BMH1
BMH1_PlateB2_F11	B Memory	Memory B	blood	63	2535	0.059689923	0.418998705	0.13819196	0.616880589	0.383119411	0	0	0	2525	1557.623486	BMH1
BMH1_PlateB2_G2	B Memory	Memory B	blood	63	2209	0.068544157	0.457488645	0.161822903	0.687855706	0.312144294	0	0	0	2202	1514.658264	BMH1
BMH1_PlateB3_B4	B Naive	Naive B	blood	63	1096	0.102213889	0.897786111	0	1	0	0	0	0	1096	1096	BMH1
BMH1_PlateB3_B6	B Naive	Naive B	blood	63	1194	0.086924087	0.913075913	0	1	0	0	0	0	1192	1192	BMH1
BMH1_PlateB3_C7	B Naive	Naive B	blood	63	1045	0.106673622	0.893326378	0	1	0	0	0	0	1042	1042	BMH1
BMH1_PlateB3_C9	B Naive	Naive B	blood	63	611	0.098465569	0.901534431	0	1	0	0	0	0	609	609	BMH1
BMH1_PlateB3_E5	B Memory	Memory B	blood	63	2580	0.063828232	0.35477019	0.167487411	0.586085834	0.385638991	0	0.028275176	0	2574	1508.584936	BMH1
BMH1_PlateB4_B5	B Naive	Naive B	blood	63	507	0.110436672	0.889563328	0	1	0	0	0	0	506	506	BMH1
BMH1_PlateB4_C3	B Naive	Naive B	blood	63	1013	0.11069288	0.88930712	0	1	0	0	0	0	1011	1011	BMH1
BMH1_PlateB4_C6	B Naive	Naive B	blood	63	1109	0.116919574	0.883080426	0	1	0	0	0	0	1103	1103	BMH1
BMH1_PlateB4_D7	B Naive	Naive B	blood	63	993	0.105439404	0.894560596	0	1	0	0	0	0	989	989	BMH1
BMH1_PlateB4_D9	B Naive	Naive B	blood	63	1404	0.111572147	0.769809288	0	0.881381436	0.118618564	0	0	0	1391	1226.001577	BMH1
BMH1_PlateB4_E5	B Memory	Memory B	blood	63	1397	0.035541429	0.434775446	0.06137063	0.531687504	0.468312496	0	0	0	1393	740.6406935	BMH1
BMH1_PlateB4_E8	B Memory	Memory B	blood	63	1742	0.069287485	0.433295236	0.145897639	0.648480361	0.351519639	0	0	0	1738	1127.058867	BMH1
BMH1_PlateB5_B10	B Naive	Naive B	blood	63	714	0.131133555	0.868866445	0	1	0	0	0	0	711	711	BMH1
BMH1_PlateB5_C5	B Naive	Naive B	blood	63	1065	0.119797768	0.880202232	0	1	0	0	0	0	1058	1058	BMH1
BMH1_PlateB5_C9	B Naive	Naive B	blood	63	1199	0.097561658	0.902438342	0	1	0	0	0	0	1196	1196	BMH1
PD40521oh	B	Memory B	blood	29	1335	0.063386192	0.469786136	0	0.533172328	0.44085085	0	0	0.025976822	1327	707.5196793	PD40521oh
PD40521oi	B	Naive B	blood	29	421	0.12171766	0.87828234	0	1	0	0	0	0	417	417	PD40521oi
PD40521oj	B	Naive B	blood	29	789	0.066978914	0.755471662	0.177549424	1	0	0	0	0	786	786	PD40521oj
PD40521ok	B	Naive B	blood	29	625	0.085257352	0.724825865	0.163132037	0.973215254	0	0	0.026784746	0	622	605.3398882	PD40521ok
PD40521om	B	Naive B	blood	29	536	0.142073297	0.857926703	0	1	0	0	0	0	532	532	PD40521om
PD40521on	B	Memory B	blood	29	1081	0.070768663	0.409475861	0.189031142	0.669275665	0.330724335	0	0	0	1078	721.4791673	PD40521on
PD40521op	B	Memory B	blood	29	2025	0.056348413	0.35147361	0	0.407822023	0.592177977	0	0	0	2017	822.57702	PD40521op
PD40521oq	B	Memory B	blood	29	1840	0.072544446	0.26927068	0.128804581	0.470619708	0.529380292	0	0	0	1833	862.6459242	PD40521oq
PD40521os	B	Memory B	blood	29	1718	0.070951052	0.389767888	0	0.46071894	0.53928106	0	0	0	1711	788.2901062	PD40521os
PD40521ot	B	Naive B	blood	29	581	0.114453173	0.885546827	0	1	0	0	0	0	579	579	PD40521ot
PD40521ov	B	Memory B	blood	29	883	0.081244766	0.611120865	0.192672817	0.885038448	0.114961552	0	0	0	877	776.1787193	PD40521ov
PD40521ow	B	Memory B	blood	29	1687	0.080263514	0.328379263	0.148610168	0.557252945	0.442747055	0	0	0	1677	934.5131893	PD40521ow
PD40521ox	B	Memory B	blood	29	1492	0.068746479	0.31812243	0.15172296	0.538591869	0.461408131	0	0	0	1489	801.9632924	PD40521ox
PD40521oy	B	Memory B	blood	29	1454	0.045613306	0.304056839	0	0.349670145	0.650329855	0	0	0	1437	502.4759977	PD40521oy
PD40521oz	B	Memory B	blood	29	2031	0.062032048	0.358128499	0	0.420160547	0.461423039	0.118416414	0	0	2026	851.2452678	PD40521oz
PD40521pc	B	Naive B	blood	29	449	0.134168221	0.865831779	0	1	0	0	0	0	446	446	PD40521pc
PD40521pd	B	Memory B	blood	29	1568	0.049250907	0.265461758	0.123483877	0.438196542	0.561803458	0	0	0	1562	684.4629988	PD40521pd
PD40521pe	B	Memory B	blood	29	1231	0.054756181	0.403623466	0	0.458379646	0.486496383	0	0	0.05512397	1225	561.5150669	PD40521pe
PD40521ph	B	Memory B	blood	29	943	0.054072394	0.38921552	0	0.443287914	0.464460664	0.092251422	0	0	939	416.2473508	PD40521ph
PD40521pj	B	Naive B	blood	29	248	0.121618273	0.878381727	0	1	0	0	0	0	245	245	PD40521pj
PD40521pl	B	Memory B	blood	29	2078	0.050356345	0.260003234	0	0.310359579	0.689640421	0	0	0	2073	643.3754078	PD40521pl
PD40521pm	B	Memory B	blood	29	1408	0.042083086	0.40256552	0	0.444648606	0.405408974	0	0	0.14994242	1406	625.1759396	PD40521pm
PD40521pn	B	Memory B	blood	29	1805	0.052406658	0.355116155	0	0.407522813	0.452691648	0.139785538	0	0	1803	734.7636327	PD40521pn
PD40521po	B	Memory B	blood	29	1033	0.07372825	0.572880665	0.195130579	0.841739494	0.158260506	0	0	0	1031	867.8334184	PD40521po
PD40521pt	B	Memory B	blood	29	1180	0.065218515	0.438313957	0	0.503532472	0.496467528	0	0	0	1177	592.657719	PD40521pt
PD40521pu	B	Memory B	blood	29	1237	0.058128329	0.410933955	0.1161837	0.585245984	0.414754016	0	0	0	1228	718.6820687	PD40521pu
PD40521px	B	Memory B	blood	29	1309	0.046790215	0.353391456	0	0.400181672	0.599818328	0	0	0	1300	520.236173	PD40521px
PD40521qc	B	Naive B	blood	29	318	0.13292532	0.86707468	0	1	0	0	0	0	317	317	PD40521qc
PD40521qd	B	Naive B	blood	29	519	0.103312182	0.896687818	0	1	0	0	0	0	516	516	PD40521qd
PD40521qe	B	Naive B	blood	29	636	0.083990885	0.596106306	0.180560538	0.86065773	0.13934227	0	0	0	635	546.5176584	PD40521qe
PD40521qf	B	Naive B	blood	29	993	0.098888438	0.682269408	0	0.781157846	0.218842154	0	0	0	992	774.9085829	PD40521qf
PD40521qi	B	Naive B	blood	29	589	0.092289293	0.907710707	0	1	0	0	0	0	586	586	PD40521qi
PD40521qk	B	Memory B	blood	29	958	0.084290744	0.356859988	0	0.441150732	0.558849268	0	0	0	953	420.4166479	PD40521qk
PD40521ql	B	Naive B	blood	29	585	0.139564538	0.860435462	0	1	0	0	0	0	585	585	PD40521ql
PD40521qo	B	Naive B	blood	29	579	0.120976342	0.879023658	0	1	0	0	0	0	578	578	PD40521qo
PD40667rr	B Memory	Memory B	spleen	38	1038	0.081498498	0.424241834	0	0.505740332	0.494259668	0	0	0	1035	523.4412437	PD40667rr
PD40667rv	B Naive	Naive B	spleen	38	1257	0.252304828	0.583484105	0.164211067	1	0	0	0	0	1252	1252	PD40667rv
PD40667rx	B Memory	Memory B	spleen	38	2489	0.498270141	0.352804006	0	0.851074146	0.148925854	0	0	0	2480	2110.663883	PD40667rx
PD40667ry	B Memory	Memory B	spleen	38	1466	0.07213695	0.506986252	0.086840178	0.665963379	0.334036621	0	0	0	1462	973.6384605	PD40667ry
